Id,Type,Icon,Name,Note,X,Y,Latitude,Longitude
0,volcanoes,🌋,"Rusthorn","Dormant volcano. Height: 10289ft.",695.79,634.37,12.9,-86.74
1,volcanoes,🌋,"Mount Murkwhirl","Dormant volcano. Height: 10660ft.",1452.65,972.62,-28.21,5.24
2,volcanoes,🌋,"Soraralys Volcano","Dormant volcano. Height: 9925ft.",2247.7,1264.4,-63.67,101.87
3,volcanoes,🌋,"Scutaimpa","Dormant volcano. Height: 10289ft.",2589.02,770.6,-3.66,143.35
4,volcanoes,🌋,"Grumrok Volcano","Erupting volcano. Height: 9567ft.",1078.32,465.55,33.42,-40.25
5,hot-springs ghosts,♨️,"Hot Springs of Snapdream","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 35°C.",1414.66,1241.13,-60.85,0.63
6,hot-springs ghosts,♨️,"Nocturninara Hot Springs","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 24°C.",305.59,304.98,52.93,-134.16
7,hot-springs ghosts,♨️,"Vespeles","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 49°C.",2062.76,1135.91,-48.06,79.39
8,hot-springs ghosts,♨️,"Calewhisper Hot Springs","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 56°C.",1790.82,452.95,34.95,46.34
9,hot-springs ghosts,♨️,"Thundershout Hot Springs","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 37°C.",712.43,308.98,52.45,-84.72
10,hot-springs ghosts,♨️,"Canower","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 29°C.",1767.45,438.48,36.71,43.5
11,hot-springs ghosts,♨️,"Plumence Hot Springs","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 51°C.",1511.02,809.01,-8.33,12.34
12,hot-springs ghosts,♨️,"Lula Hot Springs","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 63°C.",1473.58,855,-13.92,7.79
13,hot-springs ghosts,♨️,"Bone Hot Springs","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 24°C.",1667.5,1281,-65.69,31.36
14,hot-springs ghosts,♨️,"Hearth Hot Springs","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 61°C.",1309.33,1029.35,-35.11,-12.17
15,whirlpool,💧,"Stonesher Purifying Well","This legendary water source is whispered about in ancient tales and believed to possess mystical properties. The spring emanates crystal-clear water, shimmering with an otherworldly iridescence that sparkles even in the dimmest light.",838.2,178.8,68.27,-69.43
16,whirlpool,💧,"Hearthamer Healing Stream","This legendary water source is whispered about in ancient tales and believed to possess mystical properties. The spring emanates crystal-clear water, shimmering with an otherworldly iridescence that sparkles even in the dimmest light.",852.5,1376.78,-77.33,-67.69
17,whirlpool,💧,"Crysting Spring of Youth","This legendary water source is whispered about in ancient tales and believed to possess mystical properties. The spring emanates crystal-clear water, shimmering with an otherworldly iridescence that sparkles even in the dimmest light.",1877.39,963.37,-27.09,56.86
